Serial No.,ScreenTimeHrs,Normalized_Screen_Time_hrs,ZoomMeetings,Normalized_ZoomMeetings_Hrs,StressLevel,Normalized_StressLevels,SleepHours,Normalized_SleepHours,BreaksTaken,Normalized_BreakTaken,ExerciseTime_Mins,Normalized_Exercise_Time,Self_Reported_Stress,Self_Reported_Productivity,Stress_Score,Normalized_StressScore,Burnout_Score,Productivity_Score,Mood,Work_Life_Balance (Out of 100)
13,8.5,0.4744525547,7,0.7777777778,3,0.2222222222,8.4,0.7714285714,6,1,0.19,0.08962264151,1,10,80.43682863,44.48618457,27.97628776,72.02371224,Good,72
14,4.2,0.1605839416,1,0.1111111111,8,0.7777777778,5.9,0.4142857143,6,1,0.79,0.3726415094,10,2,73.68987655,10.99357989,20.86474599,79.13525401,Good,79
15,4.6,0.1897810219,3,0.3333333333,1,0,5.8,0.4,5,0.8333333333,0.75,0.3537735849,5,10,76.61604921,25.51941955,0,100,Very Good,100
16,6.9,0.3576642336,6,0.6666666667,10,1,7.9,0.7,5,0.8333333333,1.03,0.4858490566,1,9,78.03324611,32.55453924,60.74287288,39.25712712,Bad,39
17,6,0.2919708029,3,0.3333333333,4,0.3333333333,8.1,0.7285714286,3,0.5,0.1,0.04716981132,7,8,77.56912402,30.25058667,18.05104242,81.94895758,Very Good,82
18,8.6,0.4817518248,3,0.3333333333,3,0.2222222222,7.6,0.6571428571,0,0,0.66,0.3113207547,10,3,80.98175904,47.19127844,29.63107535,70.36892465,Good,70
19,6.2,0.3065693431,5,0.5555555556,6,0.5555555556,5.1,0.3,4,0.6666666667,0.93,0.4386792453,8,1,80.68875423,45.73677065,42.8427979,57.1572021,Neutral,57
20,5.2,0.2335766423,9,1,7,0.6666666667,7.1,0.5857142857,6,1,0.09,0.04245283019,8,4,81.48024082,49.66579625,55.59411336,44.40588664,Neutral,44
21,10.9,0.6496350365,5,0.5555555556,4,0.3333333333,6.7,0.5285714286,5,0.8333333333,0.51,0.2405660377,7,8,82.4166259,54.31411374,43.86519413,56.13480587,Neutral,56
22,7.5,0.401459854,9,1,7,0.6666666667,8.1,0.7285714286,4,0.6666666667,0.57,0.2688679245,2,3,82.44388875,54.44944949,63.51975656,36.48024344,Bad,36
23,8.1,0.4452554745,2,0.2222222222,9,0.8888888889,5.6,0.3714285714,6,1,0.9,0.4245283019,5,10,77.56079074,30.20921937,49.30412751,50.69587249,Neutral,51
24,5.2,0.2335766423,8,0.8888888889,2,0.1111111111,4,0.1428571429,5,0.8333333333,0.44,0.2075471698,4,2,84.14049838,62.87160442,31.13349641,68.86650359,Good,69
25,6.9,0.3576642336,9,1,3,0.2222222222,7.5,0.6428571429,6,1,0.27,0.1273584906,5,7,81.92435123,51.8704087,32.96030325,67.03969675,Good,67
26,8.2,0.4525547445,1,0.1111111111,5,0.4444444444,3,0,3,0.5,0.42,0.1981132075,10,4,82.6219835,55.33353126,44.30213163,55.69786837,Neutral,56
27,5.7,0.2700729927,5,0.5555555556,3,0.2222222222,5.4,0.3428571429,0,0,0.31,0.1462264151,9,6,83.81741157,61.26776632,38.54969253,61.45030747,Good,61
28,8.8,0.496350365,6,0.6666666667,8,0.7777777778,5,0.2857142857,0,0,0.17,0.08018867925,4,5,87.69036798,80.49354361,92.93915307,7.060846925,Very Bad,7
29,6.8,0.3503649635,8,0.8888888889,10,1,5,0.2857142857,5,0.8333333333,0.14,0.06603773585,8,2,84.73156218,65.8057095,90.01860341,9.981396589,Very Bad,10
30,7.4,0.3941605839,2,0.2222222222,8,0.7777777778,5.4,0.3428571429,6,1,0.76,0.358490566,8,10,77.54256421,30.11874087,41.74966499,58.25033501,Neutral,58
31,6.8,0.3503649635,9,1,8,0.7777777778,8.3,0.7571428571,3,0.5,0.66,0.3113207547,2,2,82.20122376,53.24483407,68.74786367,31.25213633,Bad,31
32,11.7,0.7080291971,2,0.2222222222,9,0.8888888889,7.7,0.6714285714,1,0.1666666667,0.58,0.2735849057,6,9,81.72563489,50.88395914,75.75608546,24.24391454,Bad,24
33,8,0.4379562044,6,0.6666666667,4,0.3333333333,6.1,0.4428571429,4,0.6666666667,0,0,5,10,83.50337157,59.70883756,46.32499131,53.67500869,Neutral,54
34,5.9,0.2846715328,3,0.3333333333,5,0.4444444444,8.2,0.7428571429,4,0.6666666667,0.41,0.1933962264,2,2,76.13027328,23.10797493,17.59331982,82.40668018,Very Good,82
35,9.6,0.5547445255,7,0.7777777778,5,0.4444444444,4.9,0.2714285714,2,0.3333333333,0.59,0.2783018868,10,8,87.15169803,77.81952731,70.68688777,29.31311223,Bad,29
36,5.6,0.2627737226,6,0.6666666667,8,0.7777777778,4.7,0.2428571429,3,0.5,0.59,0.2783018868,4,8,82.90500587,56.73848509,66.24800467,33.75199533,Bad,34
37,8.4,0.4671532847,4,0.4444444444,7,0.6666666667,7.8,0.6857142857,6,1,1.21,0.570754717,7,1,76.45835525,24.73660954,33.82045195,66.17954805,Good,66
38,4.1,0.1532846715,6,0.6666666667,9,0.8888888889,7.4,0.6285714286,2,0.3333333333,0.24,0.1132075472,1,1,80.0514451,42.57309875,61.40911982,38.59088018,Bad,39
39,5.3,0.2408759124,2,0.2222222222,8,0.7777777778,5.8,0.4,5,0.8333333333,0.21,0.09905660377,9,4,77.25697715,28.70105563,39.36031156,60.63968844,Good,61
40,8.4,0.4671532847,1,0.1111111111,2,0.1111111111,4.8,0.2571428571,6,1,0.66,0.3113207547,10,2,78.25799586,33.67022147,5.199607383,94.80039262,Very Good,95
41,9.5,0.5474452555,5,0.5555555556,10,1,8.7,0.8142857143,2,0.3333333333,1.13,0.5330188679,1,1,79.93920248,42.01591417,73.3133221,26.6866779,Bad,27
42,8.3,0.4598540146,1,0.1111111111,4,0.3333333333,3.9,0.1285714286,0,0,0.28,0.1320754717,5,9,83.93055572,61.8294262,45.53703303,54.46296697,Neutral,54
43,7.8,0.4233576642,2,0.2222222222,6,0.5555555556,5.6,0.3714285714,4,0.6666666667,0.15,0.07075471698,7,3,80.09024031,42.76568242,41.73239726,58.26760274,Neutral,58
44,7.4,0.3941605839,5,0.5555555556,2,0.1111111111,6.8,0.5428571429,6,1,0.48,0.2264150943,8,1,79.13753276,38.03633842,11.72450775,88.27549225,Very Good,88
45,5,0.2189781022,4,0.4444444444,7,0.6666666667,9.2,0.8857142857,2,0.3333333333,0.55,0.2594339623,2,2,76.28855311,23.89369324,32.48968943,67.51031057,Good,68
46,6.6,0.3357664234,7,0.7777777778,3,0.2222222222,7.1,0.5857142857,0,0,1.52,0.7169811321,4,8,82.02624764,52.37623358,32.67937863,67.32062137,Good,67
47,7.1,0.3722627737,8,0.8888888889,3,0.2222222222,7.2,0.6,3,0.5,0.64,0.3018867925,2,5,82.82619168,56.34724287,37.18691946,62.81308054,Good,63
48,10.1,0.5912408759,2,0.2222222222,2,0.1111111111,5.6,0.3714285714,2,0.3333333333,0.49,0.2311320755,4,7,82.46089633,54.53387699,28.59784279,71.40215721,Good,71
49,8.7,0.4890510949,9,1,8,0.7777777778,7.4,0.6285714286,5,0.8333333333,0.66,0.3113207547,6,6,83.28332317,58.61649335,74.25950774,25.74049226,Bad,26
50,4.5,0.1824817518,2,0.2222222222,6,0.5555555556,6.7,0.5285714286,5,0.8333333333,0.49,0.2311320755,6,1,75.11616223,18.07381728,16.0246763,83.9753237,Very Good,84
51,8.6,0.4817518248,2,0.2222222222,1,0,4.1,0.1571428571,5,0.8333333333,0.09,0.04245283019,2,6,81.83500851,51.42690173,15.56398939,84.43601061,Very Good,84
52,7.2,0.3795620438,5,0.5555555556,1,0,7.7,0.6714285714,6,1,0.91,0.429245283,4,7,77.15165518,28.17822588,0,100,Very Good,100
53,6.6,0.3357664234,0,0,7,0.6666666667,8,0.7142857143,4,0.6666666667,0.61,0.2877358491,4,4,73.82576846,11.66816209,19.62936366,80.37063634,Very Good,80
54,9.2,0.5255474453,6,0.6666666667,8,0.7777777778,7.7,0.6714285714,2,0.3333333333,0.51,0.2405660377,1,8,82.92178173,56.82176229,73.24533548,26.75466452,Bad,27
55,10.1,0.5912408759,0,0,5,0.4444444444,6.5,0.5,3,0.5,0.01,0.004716981132,2,8,79.89354083,41.78924479,37.0467796,62.9532204,Good,63
56,9.9,0.5766423358,4,0.4444444444,5,0.4444444444,5.1,0.3,2,0.3333333333,1.15,0.5424528302,3,7,83.41883426,59.28918516,52.52726132,47.47273868,Neutral,47
57,6.3,0.3138686131,9,1,4,0.3333333333,3,0,4,0.6666666667,0.83,0.391509434,5,2,86.90598173,76.59976486,57.66859478,42.33140522,Neutral,42
58,7.4,0.3941605839,7,0.7777777778,6,0.5555555556,6.7,0.5285714286,0,0,0.22,0.1037735849,8,6,85.52016229,69.7204063,70.16146493,29.83853507,Bad,30
59,8.7,0.4890510949,3,0.3333333333,6,0.5555555556,8.1,0.7285714286,4,0.6666666667,1,0.4716981132,6,6,77.17514707,28.29484217,31.38529391,68.61470609,Good,69
60,10,0.5839416058,4,0.4444444444,3,0.2222222222,8,0.7142857143,5,0.8333333333,0.25,0.1179245283,3,7,79.87565445,41.70045485,25.6938788,74.3061212,Good,74
61,7,0.3649635036,3,0.3333333333,9,0.8888888889,7.7,0.6714285714,6,1,0.11,0.05188679245,6,6,76.73732596,26.12145054,47.38388389,52.61611611,Neutral,53
62,7.6,0.4087591241,3,0.3333333333,7,0.6666666667,6.4,0.4857142857,0,0,0.12,0.05660377358,7,2,82.64212853,55.43353335,62.15537674,37.84462326,Bad,38
63,5.8,0.2773722628,7,0.7777777778,1,0,8.1,0.7285714286,6,1,0.39,0.1839622642,6,8,78.43152436,34.53163586,2.217058737,97.78294126,Very Good,98
64,5.6,0.2627737226,1,0.1111111111,7,0.6666666667,7.9,0.7,5,0.8333333333,0.74,0.3490566038,10,4,73.18706637,8.497575379,15.56306906,84.43693094,Very Good,84
65,9.6,0.5547445255,0,0,5,0.4444444444,5.9,0.4142857143,1,0.1666666667,0.42,0.1981132075,6,9,80.77404004,46.16013873,40.22716929,59.77283071,Neutral,60
66,10.7,0.6350364964,2,0.2222222222,5,0.4444444444,7.5,0.6428571429,4,0.6666666667,0.11,0.05188679245,1,8,80.11107176,42.869092,40.00096187,59.99903813,Neutral,60
67,7.9,0.4306569343,8,0.8888888889,2,0.1111111111,5.7,0.3857142857,4,0.6666666667,0.54,0.2547169811,3,3,84.64643158,65.3831119,38.06253675,61.93746325,Good,62
68,10,0.5839416058,3,0.3333333333,4,0.3333333333,7.3,0.6142857143,3,0.5,0.46,0.2169811321,7,3,80.72387248,45.91110149,35.60163561,64.39836439,Good,64
69,8.7,0.4890510949,9,1,6,0.5555555556,4.6,0.2285714286,2,0.3333333333,0.42,0.1981132075,4,8,88.93615336,86.67775785,85.19032535,14.80967465,Very Bad,15
70,6.7,0.3430656934,4,0.4444444444,10,1,4.7,0.2428571429,0,0,0.34,0.1603773585,4,2,84.40184591,64.16896203,87.86845793,12.13154207,Very Bad,12
71,8.7,0.4890510949,1,0.1111111111,7,0.6666666667,8.1,0.7285714286,6,1,0.02,0.009433962264,7,9,75.91309256,22.02986619,31.74168804,68.25831196,Good,68
72,11.1,0.6642335766,3,0.3333333333,5,0.4444444444,7.9,0.7,0,0,0.09,0.04245283019,9,4,83.53919111,59.88664968,58.00495799,41.99504201,Neutral,42
73,7.9,0.4306569343,1,0.1111111111,9,0.8888888889,7.5,0.6428571429,3,0.5,0.73,0.3443396226,2,6,76.6752426,25.81326196,47.4446871,52.5553129,Neutral,53
74,11.1,0.6642335766,1,0.1111111111,3,0.2222222222,6.6,0.5142857143,3,0.5,0.22,0.1037735849,9,3,81.0018446,47.29098536,30.12774925,69.87225075,Good,70
75,2.8,0.05839416058,3,0.3333333333,1,0,3,0,6,1,0.66,0.3113207547,3,3,78.00532525,32.41593707,0,100,Very Good,100
76,9.6,0.5547445255,5,0.5555555556,4,0.3333333333,6.4,0.4857142857,2,0.3333333333,0.06,0.02830188679,6,3,84.65963453,65.44865281,53.70276078,46.29723922,Neutral,46
77,8.2,0.4525547445,6,0.6666666667,9,0.8888888889,7.2,0.6,6,1,0.59,0.2783018868,4,10,79.94567323,42.04803569,63.58724694,36.41275306,Bad,36
78,7.4,0.3941605839,9,1,4,0.3333333333,5.7,0.3857142857,6,1,1.15,0.5424528302,1,2,82.68608023,55.6517144,41.22914986,58.77085014,Neutral,59
79,8.2,0.4525547445,2,0.2222222222,2,0.1111111111,5.4,0.3428571429,5,0.8333333333,0.79,0.3726415094,9,8,78.73656871,36.0459092,8.303629086,91.69637091,Very Good,92
80,4,0.1459854015,2,0.2222222222,10,1,8.7,0.8142857143,2,0.3333333333,0.29,0.1367924528,6,9,74.84284293,16.71703053,43.81692582,56.18307418,Neutral,56
81,7.6,0.4087591241,9,1,5,0.4444444444,6.4,0.4857142857,4,0.6666666667,0.63,0.2971698113,8,8,84.34653104,63.894373,57.34405598,42.65594402,Neutral,43
82,8.7,0.4890510949,5,0.5555555556,3,0.2222222222,7.2,0.6,5,0.8333333333,0.38,0.179245283,2,10,80.48464093,44.72353001,26.64704892,73.35295108,Good,73
83,11,0.6569343066,2,0.2222222222,9,0.8888888889,7.7,0.6714285714,1,0.1666666667,0.5,0.2358490566,7,3,81.36562938,49.0968526,73.44510901,26.55489099,Bad,27
84,7,0.3649635036,1,0.1111111111,4,0.3333333333,5,0.2857142857,2,0.3333333333,0.34,0.1603773585,6,7,80.27796687,43.6975775,27.89661226,72.10338774,Good,72
85,6.4,0.3211678832,7,0.7777777778,6,0.5555555556,6.8,0.5428571429,3,0.5,0.42,0.1981132075,2,10,82.29859108,53.72817606,53.466539,46.533461,Neutral,47
86,7,0.3649635036,4,0.4444444444,2,0.1111111111,8.5,0.7857142857,5,0.8333333333,0.61,0.2877358491,2,2,76.43519958,24.62166227,0.3494424442,99.65055756,Very Good,100
87,9.8,0.5693430657,0,0,6,0.5555555556,9.2,0.8857142857,2,0.3333333333,0,0,4,4,77.27438304,28.78746033,34.25582204,65.74417796,Good,66
88,8.7,0.4890510949,2,0.2222222222,3,0.2222222222,6.6,0.5142857143,0,0,0.01,0.004716981132,4,6,82.53513509,54.90240626,36.04237686,63.95762314,Good,64
89,6.9,0.3576642336,9,1,9,0.8888888889,6.1,0.4428571429,6,1,0.19,0.08962264151,3,5,83.67529463,60.56228235,79.71502023,20.28497977,Bad,20
90,9,0.5109489051,7,0.7777777778,2,0.1111111111,6.9,0.5571428571,1,0.1666666667,0.3,0.141509434,8,9,85.64186401,70.32454689,45.55690436,54.44309564,Neutral,54
91,8.2,0.4525547445,3,0.3333333333,9,0.8888888889,6.9,0.5571428571,4,0.6666666667,0.11,0.05188679245,7,10,79.86085742,41.62700076,62.73459644,37.26540356,Bad,37
92,9.9,0.5766423358,6,0.6666666667,5,0.4444444444,8.6,0.8,6,1,0.58,0.2735849057,2,4,79.60541707,40.35896705,38.46017537,61.53982463,Good,62
93,6.6,0.3357664234,9,1,8,0.7777777778,5,0.2857142857,0,0,0.05,0.02358490566,3,5,88.97761033,86.88355475,97.76952538,2.230474617,Very Bad,2
94,7.3,0.3868613139,1,0.1111111111,2,0.1111111111,6.1,0.4428571429,0,0,0.76,0.358490566,10,4,79.78068262,41.22900433,13.86726434,86.13273566,Very Good,86
95,7.2,0.3795620438,6,0.6666666667,6,0.5555555556,4.8,0.2571428571,1,0.1666666667,0.52,0.2452830189,9,8,85.42401217,69.24310663,66.8204432,33.1795568,Bad,33
96,5.1,0.2262773723,4,0.4444444444,3,0.2222222222,5,0.2857142857,4,0.6666666667,0.48,0.2264150943,5,8,79.96028795,42.12058473,18.25468966,81.74531034,Very Good,82
97,8.6,0.4817518248,4,0.4444444444,10,1,7.1,0.5857142857,3,0.5,0.83,0.391509434,2,3,80.12132178,42.91997422,71.28127002,28.71872998,Bad,29
98,8.5,0.4744525547,5,0.5555555556,5,0.4444444444,7.7,0.6714285714,5,0.8333333333,0.91,0.429245283,3,1,78.76722696,36.19810007,31.9616127,68.0383873,Good,68
99,8,0.4379562044,8,0.8888888889,8,0.7777777778,5.5,0.3571428571,4,0.6666666667,0,0,8,6,85.96686363,71.93788038,84.45197544,15.54802456,Very Bad,16
100,7.5,0.401459854,5,0.5555555556,10,1,7.7,0.6714285714,2,0.3333333333,0.71,0.3349056604,4,2,80.41465844,44.37612931,72.80217645,27.19782355,Bad,27
101,5.2,0.2335766423,7,0.7777777778,1,0,8.2,0.7428571429,0,0,0.07,0.03301886792,2,2,82.48305603,54.64388016,22.17961801,77.82038199,Good,78
102,7.2,0.3795620438,6,0.6666666667,5,0.4444444444,9.4,0.9142857143,2,0.3333333333,0.55,0.2594339623,2,3,79.44359887,39.55568392,36.82313862,63.17686138,Good,63
103,7.3,0.3868613139,8,0.8888888889,3,0.2222222222,6.6,0.5142857143,3,0.5,0.13,0.06132075472,6,8,84.62015552,65.25267468,45.4455812,54.5544188,Neutral,55
104,6.4,0.3211678832,3,0.3333333333,4,0.3333333333,5.5,0.3571428571,2,0.3333333333,0.4,0.1886792453,8,3,80.93315233,46.94998943,31.44886904,68.55113096,Good,69
105,7.7,0.4160583942,1,0.1111111111,2,0.1111111111,5,0.2857142857,4,0.6666666667,0.31,0.1462264151,7,7,79.51218622,39.89615895,11.24532455,88.75467545,Very Good,89
106,8.8,0.496350365,6,0.6666666667,9,0.8888888889,4.8,0.2571428571,2,0.3333333333,0.44,0.2075471698,4,10,86.07617211,72.48049958,91.24912612,8.750873879,Very Bad,9
107,11.8,0.7153284672,5,0.5555555556,3,0.2222222222,8.4,0.7714285714,3,0.5,0.3,0.141509434,2,10,82.86026281,56.51637567,42.50221776,57.49778224,Neutral,57
108,8.3,0.4598540146,0,0,2,0.1111111111,4.2,0.1714285714,3,0.5,0.09,0.04245283019,9,9,81.05730025,47.56627325,18.2659938,81.7340062,Very Good,82
109,8.5,0.4744525547,8,0.8888888889,10,1,8.3,0.7571428571,3,0.5,0.3,0.141509434,4,8,83.23245607,58.36398352,88.47823445,11.52176555,Very Bad,12
110,7.9,0.4306569343,8,0.8888888889,9,0.8888888889,5.2,0.3142857143,4,0.6666666667,0.63,0.2971698113,9,1,85.04804883,67.37678366,86.02300396,13.97699604,Very Bad,14
111,4.2,0.1605839416,1,0.1111111111,7,0.6666666667,5.5,0.3571428571,3,0.5,0.48,0.2264150943,5,7,76.73192507,26.09463992,28.83689334,71.16310666,Good,71
112,7.9,0.4306569343,2,0.2222222222,6,0.5555555556,6.3,0.4714285714,0,0,0.59,0.2783018868,7,7,81.199711,48.27321571,48.3527434,51.6472566,Neutral,52
113,8.1,0.4452554745,4,0.4444444444,1,0,5.4,0.3428571429,6,1,0.16,0.07547169811,5,8,80.96336636,47.0999752,12.697958,87.302042,Very Good,87
114,12.9,0.795620438,4,0.4444444444,5,0.4444444444,7.9,0.7,3,0.5,1.09,0.5141509434,2,10,81.85515616,51.52691684,50.89865185,49.10134815,Neutral,49
115,7.6,0.4087591241,0,0,3,0.2222222222,9.2,0.8857142857,2,0.3333333333,0.09,0.04245283019,6,5,75.4987323,19.97293676,3.771728937,96.22827106,Very Good,96
116,8.6,0.4817518248,7,0.7777777778,1,0,5.5,0.3571428571,5,0.8333333333,0.74,0.3490566038,7,10,83.45303786,59.45897558,25.65413614,74.34586386,Good,74
117,7.9,0.4306569343,7,0.7777777778,4,0.3333333333,5.9,0.4142857143,2,0.3333333333,1.09,0.5141509434,6,9,83.82456874,61.30329532,47.57227021,52.42772979,Neutral,52
118,5.7,0.2700729927,3,0.3333333333,2,0.1111111111,6.3,0.4714285714,5,0.8333333333,0.74,0.3490566038,3,9,76.86640827,26.76222919,0,100,Very Good,100
119,10.3,0.6058394161,6,0.6666666667,2,0.1111111111,7.3,0.6142857143,2,0.3333333333,0.4,0.1886792453,10,8,84.38939147,64.1071368,40.8148753,59.1851247,Neutral,59
120,9.5,0.5474452555,9,1,3,0.2222222222,6.3,0.4714285714,4,0.6666666667,0.24,0.1132075472,8,6,86.58352713,74.99906511,56.43970724,43.56029276,Neutral,44
121,9.6,0.5547445255,2,0.2222222222,8,0.7777777778,8.6,0.8,2,0.3333333333,1.02,0.4811320755,3,6,77.6673614,30.7382477,48.55091891,51.44908109,Neutral,51
122,6.2,0.3065693431,5,0.5555555556,8,0.7777777778,8.2,0.7428571429,4,0.6666666667,0.21,0.09905660377,5,1,78.50438765,34.89333714,49.68286978,50.31713022,Neutral,50
123,10.8,0.6423357664,9,1,7,0.6666666667,4.7,0.2428571429,4,0.6666666667,0.01,0.004716981132,9,6,89.79496593,90.94099697,97.82675874,2.173241256,Very Bad,2
124,5.2,0.2335766423,9,1,6,0.5555555556,7.3,0.6142857143,3,0.5,0.3,0.141509434,5,4,82.85544297,56.49244948,56.08917177,43.91082823,Neutral,44
125,9.2,0.5255474453,8,0.8888888889,9,0.8888888889,8.8,0.8285714286,0,0,1.12,0.5283018868,7,4,83.62480659,60.31165423,84.99855501,15.00144499,Very Bad,15
126,12.4,0.7591240876,0,0,4,0.3333333333,5.8,0.4,5,0.8333333333,0.69,0.3254716981,7,2,79.75602075,41.10658012,30.37134463,69.62865537,Good,70
127,6,0.2919708029,4,0.4444444444,1,0,6.1,0.4428571429,3,0.5,0.02,0.009433962264,5,4,80.89467059,46.75896191,11.82163242,88.17836758,Very Good,88
128,6.9,0.3576642336,3,0.3333333333,8,0.7777777778,5.7,0.3857142857,3,0.5,0.34,0.1603773585,2,5,80.51608528,44.87962321,56.68087827,43.31912173,Neutral,43
129,8.2,0.4525547445,7,0.7777777778,7,0.6666666667,5.7,0.3857142857,6,1,0.19,0.08962264151,5,5,83.30356482,58.71697509,64.90051438,35.09948562,Bad,35
130,7,0.3649635036,0,0,7,0.6666666667,4,0.1428571429,4,0.6666666667,0.15,0.07075471698,7,5,79.55709236,40.11907793,42.86366826,57.13633174,Neutral,57
131,4.9,0.2116788321,8,0.8888888889,3,0.2222222222,4.5,0.2142857143,4,0.6666666667,0.99,0.4669811321,7,4,82.97902252,57.10591182,32.48809141,67.51190859,Good,68
132,8.1,0.4452554745,5,0.5555555556,4,0.3333333333,6.6,0.5142857143,5,0.8333333333,0.19,0.08962264151,4,1,81.09088958,47.7330143,35.04985976,64.95014024,Good,65
133,5.9,0.2846715328,3,0.3333333333,10,1,8.8,0.8285714286,2,0.3333333333,1.3,0.6132075472,1,10,75.09864704,17.98686998,46.62566484,53.37433516,Neutral,53
134,8.9,0.503649635,8,0.8888888889,9,0.8888888889,5.6,0.3714285714,2,0.3333333333,0.91,0.429245283,6,8,86.12586442,72.72717763,92.71343752,7.286562479,Very Bad,7
135,6.2,0.3065693431,4,0.4444444444,6,0.5555555556,5.5,0.3571428571,3,0.5,1.05,0.4952830189,3,3,79.78297405,41.24037925,38.8853256,61.1146744,Good,61
136,11.1,0.6642335766,4,0.4444444444,5,0.4444444444,9.1,0.8714285714,1,0.1666666667,0.27,0.1273584906,5,2,82.05036212,52.49594048,52.27509876,47.72490124,Neutral,48
137,6.4,0.3211678832,4,0.4444444444,3,0.2222222222,4.8,0.2571428571,1,0.1666666667,0.43,0.2028301887,4,9,83.23210411,58.36223637,35.27696128,64.72303872,Good,65
138,7.4,0.3941605839,0,0,9,0.8888888889,4,0.1428571429,2,0.3333333333,0.22,0.1037735849,2,7,81.05032102,47.53162759,63.95511572,36.04488428,Bad,36
139,9.6,0.5547445255,0,0,5,0.4444444444,5.3,0.3285714286,1,0.1666666667,0.24,0.1132075472,7,9,81.79937697,51.25002287,44.49671107,55.50328893,Neutral,56
140,5.5,0.2554744526,7,0.7777777778,5,0.4444444444,5.5,0.3571428571,6,1,0.75,0.3537735849,5,2,80.50472955,44.82325212,35.31648752,64.68351248,Good,65
141,8.5,0.4744525547,7,0.7777777778,4,0.3333333333,3.9,0.1285714286,2,0.3333333333,1.15,0.5424528302,7,9,86.43503169,74.26191758,58.20539827,41.79460173,Neutral,42
142,10.6,0.6277372263,5,0.5555555556,4,0.3333333333,6.3,0.4714285714,4,0.6666666667,0.05,0.02358490566,9,10,84.18938185,63.11426728,51.93856721,48.06143279,Neutral,48
143,4.8,0.204379562,3,0.3333333333,1,0,7.9,0.7,3,0.5,0.32,0.1509433962,4,9,76.5066887,24.97654207,0,100,Very Good,100
144,8.4,0.4671532847,1,0.1111111111,7,0.6666666667,4.6,0.2285714286,0,0,0.42,0.1981132075,5,9,82.93939748,56.90920878,61.65423452,38.34576548,Bad,38
145,8.5,0.4744525547,1,0.1111111111,9,0.8888888889,6.6,0.5142857143,3,0.5,0.2,0.09433962264,9,10,79.14177023,38.05737367,58.92956718,41.07043282,Neutral,41
146,9.6,0.5547445255,8,0.8888888889,3,0.2222222222,7.1,0.5857142857,2,0.3333333333,0.8,0.3773584906,10,10,85.13007479,67.78396944,50.38829537,49.61170463,Neutral,50
147,5.5,0.2554744526,4,0.4444444444,2,0.1111111111,6.4,0.4857142857,6,1,0.14,0.06603773585,4,4,77.96043485,32.19309623,3.880728309,96.11927169,Very Good,96
148,5.4,0.2481751825,3,0.3333333333,3,0.2222222222,6.8,0.5428571429,2,0.3333333333,0.4,0.1886792453,5,10,78.71751103,35.95130482,14.83121176,85.16878824,Very Good,85
